DATE,(All),,,,,,
,,,,,,,
Row Labels,Count of TOTAL_FATALITIES,Count of PASSENGER_FATALITIES,Count of CREW_FATALITIES,Count of GROUND_CASUALTIES,Count of CREW_ONBOARD,Count of PASSENGER_ONBOARD,Count of TOTAL_ONBOARD
1908,1,1,1,1,1,1,1
1909,1,1,1,1,1,1,1
1912,1,1,1,1,1,1,1
1913,3,3,3,3,3,3,3
1915,2,2,2,2,2,2,2
1916,5,5,5,5,5,5,5
1917,7,7,7,7,7,7,7
1918,4,4,4,4,4,4,4
1919,9,9,9,9,9,9,9
1920,18,18,18,18,18,18,18
1921,12,12,12,12,12,12,12
1922,13,13,13,13,13,13,13
1923,13,13,13,13,13,13,13
1924,7,7,7,7,7,7,7
1925,11,11,11,11,11,11,11
1926,13,13,13,13,13,13,13
1927,20,20,20,20,20,20,20
1928,36,36,36,36,36,36,36
1929,39,39,39,39,39,39,39
1930,26,26,26,26,26,26,26
1931,33,33,33,33,33,33,33
1932,28,28,28,28,28,28,28
1933,28,28,28,28,28,28,28
1934,31,31,31,31,31,31,31
1935,41,41,41,41,41,41,41
1936,50,50,50,50,50,50,50
1937,34,34,34,34,34,34,34
1938,56,56,56,56,56,56,56
1939,30,30,30,30,30,30,30
1940,25,25,25,25,25,25,25
1941,27,27,27,27,27,27,27
1942,38,38,38,38,38,38,38
1943,44,44,44,44,44,44,44
1944,56,56,56,56,56,56,56
1945,74,74,74,74,74,74,74
1946,88,88,88,88,88,88,88
1947,82,82,82,82,82,82,82
1948,77,77,77,77,77,77,77
1949,67,67,67,67,67,67,67
1950,69,69,69,69,69,69,69
1951,75,75,75,75,75,75,75
1952,65,65,65,65,65,65,65
1953,69,69,69,69,69,69,69
1954,61,61,61,61,61,61,61
1955,57,57,57,57,57,57,57
1956,53,53,53,53,53,53,53
1957,66,66,66,66,66,66,66
1958,68,68,68,68,68,68,68
1959,66,66,66,66,66,66,66
1960,70,70,70,70,70,70,70
1961,60,60,60,60,60,60,60
1962,77,77,77,77,77,77,77
1963,61,61,61,61,61,61,61
1964,55,55,55,55,55,55,55
1965,62,62,62,62,62,62,62
1966,59,59,59,59,59,59,59
1967,58,58,58,58,58,58,58
1968,65,65,65,65,65,65,65
1969,69,69,69,69,69,69,69
1970,73,73,73,73,73,73,73
1971,58,58,58,58,58,58,58
1972,77,77,77,77,77,77,77
1973,64,64,64,64,64,64,64
1974,58,58,58,58,58,58,58
1975,51,51,51,51,51,51,51
1976,57,57,57,57,57,57,57
1977,63,63,63,63,63,63,63
1978,51,51,51,51,51,51,51
1979,60,60,60,60,60,60,60
1980,45,45,45,45,45,45,45
1981,50,50,50,50,50,50,50
1982,54,54,54,54,54,54,54
1983,48,48,48,48,48,48,48
1984,48,48,48,48,48,48,48
1985,56,56,56,56,56,56,56
1986,50,50,50,50,50,50,50
1987,54,54,54,54,54,54,54
1988,64,64,64,64,64,64,64
1989,83,83,83,83,83,83,83
1990,61,61,61,61,61,61,61
1991,69,69,69,69,69,69,69
1992,66,66,66,66,66,66,66
1993,56,56,56,56,56,56,56
1994,74,74,74,74,74,74,74
1995,60,60,60,60,60,60,60
1996,68,68,68,68,68,68,68
1997,56,56,56,56,56,56,56
1998,59,59,59,59,59,59,59
1999,62,62,62,62,62,62,62
2000,63,63,63,63,63,63,63
2001,58,58,58,58,58,58,58
2002,55,55,55,55,55,55,55
2003,62,62,62,62,62,62,62
2004,46,46,46,46,46,46,46
2005,45,45,45,45,45,45,45
2006,38,38,38,38,38,38,38
2007,43,43,43,43,43,43,43
2008,50,50,50,50,50,50,50
2009,46,46,46,46,46,46,46
2010,40,40,40,40,40,40,40
2011,36,36,36,36,36,36,36
2012,26,26,26,26,26,26,26
2013,25,25,25,25,25,25,25
2014,23,23,23,23,23,23,23
2015,18,18,18,18,18,18,18
2016,23,23,23,23,23,23,23
2017,15,15,15,15,15,15,15
2018,16,16,16,16,16,16,16
2019,14,13,13,14,14,14,14
2020,3,3,3,3,3,3,3
Grand Total,4975,4974,4974,4975,4975,4975,4975
